<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.27	19:00:00	0.68487	0.68529	0.68449	0.68483	3303	3116870000	21
2016.04.27	20:00:00	0.68481	0.68577	0.68432	0.68545	3515	3720057000	21
2016.04.27	21:00:00	0.68602	0.68602	0.68058	0.68452	9622	9425515000	21
2016.04.27	22:00:00	0.68448	0.68478	0.68331	0.68403	4332	4208309000	21
2016.04.27	23:00:00	0.68403	0.68558	0.68272	0.68273	2434	2032070000	21
2016.04.28	00:00:00	0.68902	0.69403	0.68650	0.69114	3572	3045637000	0
2016.04.28	01:00:00	0.69139	0.69257	0.69120	0.69254	2834	2297900000	21
2016.04.28	02:00:00	0.69256	0.69276	0.69115	0.69273	2241	3155849000	21
2016.04.28	03:00:00	0.69273	0.69280	0.69028	0.69042	2755	2836746000	21
2016.04.28	04:00:00	0.69037	0.69094	0.68958	0.69019	3402	3061556000	21
2016.04.28	05:00:00	0.69020	0.69093	0.68988	0.69055	3110	2521750000	21
2016.04.28	06:00:00	0.69055	0.69250	0.69024	0.69191	4622	3172428000	21
2016.04.28	07:00:00	0.69196	0.69376	0.69174	0.69313	2908	1884566000	21
2016.04.28	08:00:00	0.69313	0.69408	0.69296	0.69330	3482	2940323000	21
2016.04.28	09:00:00	0.69330	0.69790	0.69330	0.69696	6783	6334474000	21
2016.04.28	10:00:00	0.69696	0.69888	0.69584	0.69594	6435	6873395000	21
2016.04.28	11:00:00	0.69592	0.69699	0.69404	0.69574	5685	4613289000	21
2016.04.28	12:00:00	0.69573	0.69645	0.69498	0.69623	4007	5340846000	21
2016.04.28	13:00:00	0.69622	0.69726	0.69543	0.69573	4387	4834790000	21
2016.04.28	14:00:00	0.69574	0.69603	0.69443	0.69566	4848	6094618000	21
2016.04.28	15:00:00	0.69589	0.69730	0.69442	0.69517	5783	6141768000	21
2016.04.28	16:00:00	0.69516	0.69544	0.69333	0.69492	6368	11017610000	21
2016.04.28	17:00:00	0.69492	0.69719	0.69474	0.69651	6101	6440510000	21
2016.04.28	18:00:00	0.69654	0.69789	0.69607	0.69663	4289	3827580000	21
